t,yt
985,164.9873047
986,200.7861328
987,236.1679688
988,273.0136719
989,309.2929688
990,346.1865234
991,381.7226563
992,416.0117188
993,449.5224609
994,483.7314453
995,519.2470703
996,550.4443359
997,587.8339844
998,618.9296875
999,650.3701172
1000,678.7167969
1001,707.7832031
1002,737.171875
1003,765.1914063
1004,792.59375
1005,818.6494141
1006,845.8447266
1007,876.6591797
1008,907.6162109
1009,939.4960938
1010,975.4912109
1011,1010.291992
1012,1043.149414
1013,1075.755859
1014,1106.676758
1015,1137.374023
1016,1020.496094
1017,1048.768555
1018,1078.966797
1019,1111.188477
1020,1144.360352
1021,1177.908203
1022,1214.258789
1023,1249.474609
1024,1286.503906
1025,1324.083984
1026,1362.169922
1027,1402.046875
1028,1444.668945
1029,1482.8125
1030,1515.182617
1031,1545.399414
1032,1576.014648
1033,1609.041992
1034,1646.369141
1035,1680.107422
1036,1712.131836
1037,1744.464844
1038,1778.03418
1039,1813.609375
1040,1844.948242
1041,1875.355469
1042,1909.731445
1043,1941.280273
1044,1972.564453
1045,2004.482422
1046,2039.119141
1047,2071.640625
1048,2103.691406
1049,2133.944336
1050,2168.845703
1051,2201.772461
1052,2232.449219
1053,2429.398438
1054,2809.449219
1055,2823.240234
1056,2839.555664
1057,2856.991211
1058,2870.24707
1059,2884.65625
1060,2899.114258
1061,2908.388672
1062,2917.222656
1063,2926.024414
1064,2935.171875
1065,2945.567383
1066,2954.999023
1067,2964.100586
1068,2972.746094
1069,2981.514648
1070,2997.337891
1071,3010.316406
1072,3010.77832
1073,3010.77832
1074,3010.991211
1075,3012.90918
1076,3014.445313
1077,3014.5
1078,3015.295898
1079,3015.629883
1080,3015.629883
1081,3015.6875
1082,3015.742188
1083,3015.742188
1084,3015.742188
1085,3015.796875
1086,3029.387695
1087,0
1088,5.969726563
1089,5.969726563
1090,1098.754883
1091,1100.489258
1092,1100.543945
1093,1101.825195
1094,1104.636719
1095,1105.043945
1096,1118.792969
1097,1127.227539
1098,1133.735352
1099,1144.550781
1100,1150.839844
1101,1154.204102
1102,1171.301758
1103,1182.083008
1104,1193.620117
1105,1211.204102
1106,1229.585938
1107,1278.935547
1108,1311.737305
1109,1321.016602
1110,1332.288086
1111,1342.283203
1112,1353.538086
1113,1363.730469
1114,1374.203125
1115,1384.797852
1116,1395.399414
1117,1404.801758
1118,1414.697266
1119,1424.166992
1120,1434.09375
1121,1444.458984
1122,1453.668945
1123,1463.061523
1124,1474.520508
1125,0
1126,10.26953125
1127,19.46679688
1128,0
1129,18.85742188
1130,38.00878906
1131,57.72070313
1132,78.82421875
1133,106.5039063
1134,132.2011719
1135,156.7900391
1136,178.9238281
1137,200.6171875
1138,222.5498047
1139,250.8916016
1140,281.7539063
1141,304.8017578
1142,355.0878906
1143,378.7978516
1144,401.9716797
1145,428.203125
1146,454.1611328
1147,480.09375
1148,505.3017578
1149,529.2666016
1150,722773.0547
1151,722797.6045
1152,722835.4258
1153,722863.0098
1154,722890.7441
1155,722917.6836
1156,722943.459
1157,722969.9863
1158,722996.7666
1159,723022.2715
1160,723052.9355
1161,723084.9053
1162,723115.2588
1163,723141.6494
1164,723167.6729
1165,723193.6084
1166,723219.8242
1167,723246.8252
1168,723277.1455
1169,723306.1963
1170,723336.7109
1171,723368.4072
1172,723398.9775
1173,723430.29
1174,723465.1396
1175,723499.1045
1176,723534.4336
1177,723570.8154
1178,723604.6953
1179,723640.4502
1180,723674.2617
1181,723708.001
1182,723742.3398
1183,0
1184,42.1640625
1185,85.62109375
1186,127.6621094
1187,164.4921875
1188,204.1591797
1189,239.8603516
1190,277.2890625
1191,312.8984375
1192,352.7382813
1193,393.4189453
1194,433.8017578
1195,473.9541016
1196,513.0537109
1197,550.7001953
1198,588.9179688
1199,621.9287109
